rank,name,interantional,movies,average
149,Harald Kloser,1072620580,5,214524116
150,Matthew Vaughn,1069637673,14,76402691
151,Michael Mann,1068502574,12,89041881
152,Richard Suckle,1061077297,6,176846216
153,Bruce Anderson,1055584836,4,263896209
154,Michael Schaefer,1049747710,7,149963959
155,Duncan Henderson,1030555165,6,171759194
156,Emma Tillinger Koskoff,1029574001,6,171595667
157,Ram Bergman,1004389029,13,77260695
158,John Walker,1004223615,2,502111808
159,Samuel Hadida,1001408987,11,91037181
160,Clayton Townsend,999078762,15,66605251
161,Todd Black,998182669,28,35649381
162,Michelle Murdocca,996413381,4,249103345
163,John Calley,989974259,3,329991420
164,Marty Bowen,983265182,29,33905696
165,Brad Pitt,980976989,21,46713190
166,Barry Mendel,969058671,15,64603911
167,Dede Gardner,958506451,26,36865633
168,Brad Lewis,953867827,4,238466957
169,Stephenie Meyer,948450927,4,237112732
170,Sean Daniel,947270614,12,78939218
171,E.L. James,943372611,4,235843153
172,Andrew Form,932649357,16,58290585
173,Brad Fuller,932649357,16,58290585
174,Xu Zheng,922737423,4,230684356
175,Jordan Kerner,912223208,7,130317601
176,Edward Zwick,905202387,11,82291126
177,Roland Emmerich,903555937,6,150592656
178,Kevin King-Templeton,893810191,9,99312243
179,Lucy Fisher,890831051,12,74235921
180,Stacey Sher,885090990,16,55318187
181,Ryan Reynolds,884043706,6,147340618
182,Dan Goldberg,881441583,4,220360396
183,Roy Conli,879349133,6,146558189
184,William Teitler,877216414,10,87721641
185,Mark Huffam,874662210,9,97184690
186,Susan Downey,872125855,9,96902873
187,Les Weldon,862295203,18,47905289
188,Jay Roach,854937137,11,77721558
189,Guillermo del Toro,854710500,13,65746962
190,Jack Rapke,845976909,13,65075147
191,Jane Rosenthal,835092193,12,69591016
192,Ellen Goldsmith-Vein,832913932,9,92545992
193,Donald De Line,831001302,8,103875163
194,John H. Williams,829673609,5,165934722
195,Oren Peli,812736788,13,62518214
196,Jason Blumenthal,805073397,19,42372284
197,Mike Stenson,804600000,1,804600000
198,Robert Lorenz,793095342,11,72099577
199,Eric McLeod,792124612,8,99015577
200,Adam Bohling,790579834,7,112939976
201,David Reid,790579834,7,112939976
202,Don Simpson,790138555,7,112876936
203,Christopher McQuarrie,789371206,3,263123735
204,Tom Rosenberg,782859610,21,37279029
205,Cean Chaffin,781551698,7,111650243
206,Steve Golin,781358988,20,39067949
207,Gil Netter,776048073,10,77604807
208,Scott Kroopf,772696133,6,128782689
209,Patrick Wachsberger,770595890,7,110085127
210,Broderick Johnson,769950880,17,45291228
211,Mark Vahradian,760149513,14,54296394
212,Arnold Kopelson,760083860,9,84453762
213,Mace Neufeld,759200224,10,75920022
214,Stephen Chow,759197138,2,379598569
215,Kevin Costner,754900426,7,107842918
216,Avi Lerner,754864640,19,39729718
217,Lindsey Collins,751994749,2,375997375
218,Bernd Eichinger,750745969,9,83416219
219,Nancy Meyers,749898394,12,62491533
220,Janice Karman,748758763,4,187189691
221,Ross Bagdasarian Jr,748758763,4,187189691
222,Judy Craymer,746163889,2,373081945
223,Robert Rodriguez,745165642,14,53226117
224,Judd Apatow,744110412,28,26575372
225,Lee Stollman,741168266,6,123528044
226,David Brown,733128792,13,56394522
227,Lawrence Bender,728801800,13,56061677
228,Bill Block,727816637,17,42812743
229,Lawrence Gordon,723700883,12,60308407
230,Yunyun Wei,721413600,1,721413600
231,Liu Wenzhang,721413600,1,721413600
232,Charles B. Wessler,721288952,10,72128895
233,Bernie Goldmann,711426584,5,142285317
234,Gina Shay,711140125,3,237046708
235,Barbara Muschietti,707340964,5,141468193
236,Jon Peters,706589761,10,70658976
237,John Thompson,705893111,14,50420937
238,Luc Besson,705879238,10,70587924
239,Simon Emanuel,703263784,2,351631892
240,James L. Brooks,702249847,9,78027761
241,Jeremy Kleiner,699182274,19,36799067
242,Brigham Taylor,697143140,3,232381047
243,Alex Garcia,696381366,11,63307397
244,Jonathan Eirich,695646283,5,139129257
