rank,name, interantional , movies , average 
117,Aron Warner,1280527358.00,7.00,182932480.00
118,Alex Kurtzman,1277810753.00,8.00,159726344.00
119,Suzanne Todd,1253640271.00,18.00,69646682.00
120,Adam Sandler,1250312642.00,20.00,62515632.00
121,Robert Zemeckis,1247708500.00,19.00,65668868.00
122,Rob Cowan,1236696807.00,7.00,176670972.00
123,Larry Franco,1228344332.00,6.00,204724055.00
124,Bryan Singer,1220891515.00,7.00,174413074.00
125,Gary Goetzman,1215874225.00,22.00,55267010.00
126,Basil Iwanyk,1213389509.00,25.00,48535580.00
127,Don Hahn,1204093492.00,7.00,172013356.00
128,Bradley Cooper,1196835313.00,6.00,199472552.00
129,Robert Kulzer,1189691372.00,17.00,69981845.00
130,Roger Birnbaum,1177373283.00,20.00,58868664.00
131,Jeremy Bolt,1167243115.00,13.00,89787932.00
132,Paul W.S. Anderson,1163422992.00,9.00,129269221.00
133,Steve Tisch,1154760519.00,21.00,54988596.00
134,Paula Wagner,1153938477.00,7.00,164848354.00
135,Jennifer Todd,1139259111.00,15.00,75950607.00
136,Amanda Silver,1139037097.00,3.00,379679032.00
137,Rick Jaffa,1139037097.00,3.00,379679032.00
138,M. Night Shyamalan,1136494437.00,11.00,103317676.00
139,Roberto Orci,1125097546.00,8.00,140637193.00
140,Karen Gilchrist,1113305351.00,1.00,1113305351.00
141,Marc Platt,1110147792.00,31.00,35811219.00
142,Brian Oliver,1091646012.00,16.00,68227876.00
143,Belen Atienza,1091335667.00,6.00,181889278.00
144,Ralph Winter,1086808296.00,7.00,155258328.00
145,Mark Canton,1085807698.00,24.00,45241987.00
146,Michael Barnathan,1082642237.00,12.00,90220186.00
147,Allison Shearmur,1074463451.00,7.00,153494779.00
148,Steve Kloves,1072664185.00,4.00,268166046.00
149,Harald Kloser,1072620580.00,5.00,214524116.00
150,Matthew Vaughn,1069637673.00,14.00,76402691.00
151,Michael Mann,1068502574.00,12.00,89041881.00
152,Richard Suckle,1061077297.00,6.00,176846216.00
153,Bruce Anderson,1055584836.00,4.00,263896209.00
154,Michael Schaefer,1049747710.00,7.00,149963959.00
155,Duncan Henderson,1030555165.00,6.00,171759194.00
156,Emma Tillinger Koskoff,1029574001.00,6.00,171595667.00
157,Ram Bergman,1004389029.00,13.00,77260695.00
158,John Walker,1004223615.00,2.00,502111808.00
159,Samuel Hadida,1001408987.00,11.00,91037181.00
160,Clayton Townsend,999078762.00,15.00,66605251.00
161,Todd Black,998182669.00,28.00,35649381.00
162,Michelle Murdocca,996413381.00,4.00,249103345.00
163,John Calley,989974259.00,3.00,329991420.00
164,Marty Bowen,983265182.00,29.00,33905696.00
165,Brad Pitt,980976989.00,21.00,46713190.00
166,Barry Mendel,969058671.00,15.00,64603911.00
167,Dede Gardner,958506451.00,26.00,36865633.00
168,Brad Lewis,953867827.00,4.00,238466957.00
169,Stephenie Meyer,948450927.00,4.00,237112732.00
170,Sean Daniel,947270614.00,12.00,78939218.00
171,E.L. James,943372611.00,4.00,235843153.00
172,Andrew Form,932649357.00,16.00,58290585.00
173,Brad Fuller,932649357.00,16.00,58290585.00
174,Xu Zheng,922737423.00,4.00,230684356.00
175,Jordan Kerner,912223208.00,7.00,130317601.00
176,Edward Zwick,905202387.00,11.00,82291126.00
177,Roland Emmerich,903555937.00,6.00,150592656.00
178,Kevin King-Templeton,893810191.00,9.00,99312243.00
179,Lucy Fisher,890831051.00,12.00,74235921.00
180,Stacey Sher,885090990.00,16.00,55318187.00
181,Ryan Reynolds,884043706.00,6.00,147340618.00
182,Dan Goldberg,881441583.00,4.00,220360396.00
183,Roy Conli,879349133.00,6.00,146558189.00
184,William Teitler,877216414.00,10.00,87721641.00
185,Mark Huffam,874662210.00,9.00,97184690.00
186,Susan Downey,872125855.00,9.00,96902873.00
187,Les Weldon,862295203.00,18.00,47905289.00
188,Jay Roach,854937137.00,11.00,77721558.00
189,Guillermo del Toro,854710500.00,13.00,65746962.00
190,Jack Rapke,845976909.00,13.00,65075147.00
191,Jane Rosenthal,835092193.00,12.00,69591016.00
192,Ellen Goldsmith-Vein,832913932.00,9.00,92545992.00
193,Donald De Line,831001302.00,8.00,103875163.00
